initialPreyDens;initialPredDens;initialInfPreyDens;averageFinalPreyDens;averageFinalPredDens;averageFinalInfPreyDen
0.3;0.6;0.10080000013113022;0.031599999591708186;0.05686000064015388;0.0006799999973736703
0.0;0.0;0.10159999877214432;0.0;0.0;0.0
0.0;0.1;0.09570000320672989;0.0;0.0;0.0
0.0;0.2;0.10010000318288803;0.0;0.0;0.0
0.0;0.3;0.09719999879598618;0.0;0.0;0.0
0.0;0.4;0.10109999775886536;0.0;0.0;0.0
0.0;0.5;0.10100000351667404;0.0;0.0;0.0
0.0;0.6;0.10300000011920929;0.0;0.0;0.0
0.0;0.7;0.10450000315904617;0.0;0.0;0.0
0.0;0.8;0.09709999710321426;0.0;0.0;0.0
0.0;0.9;0.10220000147819519;0.0;0.0;0.0
0.0;1.0;0.09350000321865082;0.0;0.0;0.0
0.1;0.0;0.10080000013113022;0.49617999792099;0.0;0.25121999979019166
0.1;0.1;0.10339999943971634;0.03795999996364117;0.05895999893546104;0.010800000187009573
0.1;0.2;0.10329999774694443;0.03431999981403351;0.04502000063657761;0.008060000045225025
0.1;0.3;0.10329999774694443;0.03563999943435192;0.055639999359846114;0.004039999935775996
0.1;0.4;0.09830000251531601;0.0327199999243021;0.0505000002682209;0.0009000000078231096
0.1;0.5;0.10109999775886536;0.03778000101447106;0.05401999950408935;0.0007199999876320362
0.1;0.6;0.09790000319480896;0.05516000054776669;0.059960000962018964;0.0006000000023050234
0.1;0.7;0.10170000046491623;0.047120001167058945;0.06529999896883965;1.9999999494757503e-05
0.1;0.8;0.0957999974489212;0.06727999970316886;0.08229999989271164;0.00044000002089887856
0.1;0.9;0.10159999877214432;0.10938000082969665;0.0988999992609024;0.0006400000071153045
0.1;1.0;0.09740000218153;0.0;0.0;0.0
0.2;0.0;0.10010000318288803;0.48715999722480774;0.0;0.24647999703884124
0.2;0.1;0.09690000116825104;0.03500000014901161;0.06264000087976455;0.008259999938309193
0.2;0.2;0.10279999673366547;0.03770000040531159;0.058139999955892564;0.007539999950677156
0.2;0.3;0.09889999777078629;0.034999999776482583;0.06110000014305115;0.003479999932460487
0.2;0.4;0.09640000015497208;0.033320000022649766;0.05631999969482422;0.00308000004151836
0.2;0.5;0.10019999742507935;0.03797999918460846;0.06444000154733658;0.0011400000163121148
0.2;0.6;0.10109999775886536;0.0384600006043911;0.06676000207662583;0.0012600000016391277
0.2;0.7;0.094200000166893;0.045560000091791154;0.07513999938964844;0.0010999999794876203
0.2;0.8;0.10440000146627426;0.03455999977886677;0.07880000025033951;0.0005599999989499338
0.2;0.9;0.10080000013113022;0.04826000109314919;0.0768200010061264;5.999999848427251e-05
0.2;1.0;0.1005999967455864;0.0;0.0;0.0
0.3;0.0;0.10289999842643738;0.5059799969196319;0.0;0.23032000362873079
0.3;0.1;0.09780000150203705;0.041820000112056735;0.07002000063657761;0.011839999817311764
0.3;0.2;0.1014999970793724;0.03673999942839146;0.06369999945163726;0.009240000136196613
0.3;0.3;0.10689999908208847;0.02508000023663044;0.05062000006437302;0.0016800000332295895
0.3;0.4;0.09679999947547913;0.027939999476075172;0.054100000858306886;0.0013400000403635203
0.3;0.5;0.10639999806880951;0.0334199994802475;0.062219999730587006;0.000960000028135255
0.3;0.6;0.10000000149011612;0.03503999970853329;0.0645000010728836;0.0008199999865610152
0.3;0.7;0.09769999980926514;0.035699999704957006;0.06383999958634376;0.00019999999349238352
0.3;0.8;0.10289999842643738;0.03559999987483024;0.061620000004768374;0.0002999999982421286
